mean,std,max,min,label,filename
-4.3170681844154995e-13,13949.883179188746,106150.358625,-116945.641375,1,KC.TARG..HHZ_2024-01-25T22_36_25.753_2024-01-25T22_40_25.753.mseed
7.306274104242524e-14,2758.157767698678,26544.850333333332,-24757.149666666668,1,KC.TARG..HHZ_2024-01-29T04_03_37.838_2024-01-29T04_07_37.838.mseed
3.104408582051595e-13,8867.024298604829,79861.65875,-122125.34125,1,KC.TARG..HHZ_2024-02-07T08_53_44.967_2024-02-07T08_57_44.967.mseed
3.104408582051595e-13,46308.41613910492,634635.7851666666,-466261.21483333333,1,KC.TARG..HHZ_2024-01-27T09_01_19.701_2024-01-27T09_05_19.701.mseed
-1.13990002622207e-13,20643.365704373,222771.86,-278386.14,1,KC.TARG..HHZ_2024-02-23T04_06_50.707_2024-02-23T04_10_50.707.mseed
-8.791782117138306e-14,2587.904494290651,26093.0945,-24626.9055,1,KC.TARG..HHZ_2024-01-26T01_12_50.107_2024-01-26T01_16_50.107.mseed
-1.8826540326699614e-13,8103.049880062772,63447.70383333333,-66462.29616666667,1,KC.TARG..HHZ_2024-01-26T00_15_48.471_2024-01-26T00_19_48.471.mseed
1.3081565460500619e-13,1111.7773557603975,10874.695708333333,-11166.304291666667,1,KC.TARG..HHZ_2024-01-30T03_43_24.802_2024-01-30T03_47_24.802.mseed
-2.1706606882313887e-13,4402.501435660493,43511.13120833333,-44867.86879166667,1,KC.TARG..HHZ_2024-02-21T07_02_22.083_2024-02-21T07_06_22.083.mseed
1.3642420526593923e-14,3800.101196750571,44299.95820833333,-33733.04179166667,1,KC.TARG..HHZ_2024-01-25T08_58_18.033_2024-01-25T09_02_18.033.mseed
-2.3283064365386963e-13,4342.426070145126,30946.331208333333,-32866.66879166666,1,KC.TARG..HHZ_2024-01-29T23_15_23.084_2024-01-29T23_19_23.084.mseed
-8.48861721654733e-14,2525.761129873566,21240.456375,-27577.543625,1,KC.TARG..HHZ_2024-01-29T23_29_09.137_2024-01-29T23_33_09.137.mseed
-8.003553375601768e-14,9107.5595117341,149925.40225,-125455.59775,1,KC.TARG..HHZ_2024-02-12T15_51_07.215_2024-02-12T15_55_07.215.mseed
4.1230426480372745e-13,27824.142007645663,264742.4261666667,-466870.5738333333,1,KC.TARG..HHZ_2024-02-15T03_50_56.699_2024-02-15T03_54_56.699.mseed
-1.0550138540565968e-13,5183.251667697122,56787.62341666667,-60836.37658333333,1,KC.TARG..HHZ_2024-02-03T13_24_43.265_2024-02-03T13_28_43.265.mseed
1.3096723705530166e-13,2732.380907214017,33992.377625,-25861.622375,1,KC.TARG..HHZ_2024-01-27T05_27_59.890_2024-01-27T05_31_59.890.mseed
-2.27980005244414e-13,3048.8364856967146,30783.553083333332,-31759.446916666668,1,KC.TARG..HHZ_2024-01-27T00_35_37.174_2024-01-27T00_39_37.174.mseed
5.760133111228545e-15,5768.071097307693,84704.73679166667,-70318.26320833333,1,KC.TARG..HHZ_2024-01-26T08_16_15.375_2024-01-26T08_20_15.375.mseed
1.7704830194513002e-13,10307.921092464872,81275.72679166666,-82321.27320833334,1,KC.TARG..HHZ_2024-01-26T11_39_02.201_2024-01-26T11_43_02.201.mseed
-8.36735125631094e-14,12765.897284103898,190764.37566666666,-138941.62433333334,1,KC.TARG..HHZ_2024-02-21T18_24_59.426_2024-02-21T18_28_59.426.mseed
-1.940255363782247e-14,8373.04736300705,67100.63604166667,-81788.36395833333,1,KC.TARG..HHZ_2024-01-26T01_53_30.094_2024-01-26T01_57_30.094.mseed
3.334813906500737e-15,4294.905109546764,45892.039125,-65103.960875,1,KC.TARG..HHZ_2024-02-26T14_18_41.521_2024-02-26T14_22_41.521.mseed
-1.358178754647573e-13,16442.421399228595,154232.89054166665,-129702.10945833333,1,KC.TARG..HHZ_2024-02-04T01_17_15.333_2024-02-04T01_21_15.333.mseed
